2025-06-20T11:20:44.044659Z  INFO Logging to file: "orig_adc_50hz.6.txt"
2025-06-20T11:20:44.048486Z  INFO Inferred device address from filename: 6
2025-06-20T11:20:44.048539Z  INFO Running in Grouped Chronological Mode.
2025-06-20T11:20:44.523833Z  INFO Ingested 270 packets. Grouping transactions...
2025-06-20T11:20:44.524156Z  INFO [TXN-REQ] H->D F:236  @ 2.743632s | Command(CommandHeader { command_type: Connect, transaction_id: 1, attribute: None }, None)
2025-06-20T11:20:44.525131Z  INFO [TXN-REQ] H->D F:940  @ 8.109329s | Command(CommandHeader { command_type: GetFile, transaction_id: 34, attribute: AdcQueue10k }, None)
2025-06-20T11:20:44.525139Z  INFO [TXN-RSP] D->H F:942  @ 8.109489s | Acknowledge { header: CommandHeader { command_type: Accept, transaction_id: 34, attribute: None }, kind: Accept }
2025-06-20T11:20:44.525148Z  INFO [TXN-REQ] H->D F:944  @ 8.145573s | Command(CommandHeader { command_type: GetData, transaction_id: 35, attribute: AdcQueue10k }, None)
2025-06-20T11:20:44.525159Z  INFO [TXN-RSP] D->H F:946  @ 8.145774s | GenericResponse { header: CommandHeader { command_type: DataResponse, transaction_id: 35, attribute: Unknown(258) }, payload: b"\x02\0\x01\x05\x1a\x8b;\0\"\x8aM\0\xba\xff\xff\xffD\0\xa1\x0c\0\0\0\0" }
2025-06-20T11:20:44.525171Z  INFO [TXN-REQ] H->D F:948  @ 8.255106s | Command(CommandHeader { command_type: GetData, transaction_id: 36, attribute: AdcQueue10k }, None)
2025-06-20T11:20:44.525189Z  INFO [TXN-RSP] D->H F:950  @ 8.255347s | GenericResponse { header: CommandHeader { command_type: DataResponse, transaction_id: 36, attribute: Unknown(1794) }, payload: b"\x02\0\x06\x05.\x8b;\0\"\x8aM\0\xb6\xff\xff\xffF\0\xa3\x0c\0\0\0\0B\x8b;\0\"\x8aM\0\xb6\xff\xff\xffA\0\xa1\x0c\0\0\0\0V\x8b;\0\"\x8aM\0\xbe\xff\xff\xff@\0\xa5\x0c\0\0\0\0j\x8b;\0\xbe\x8aM\0\xb2\xff\xff\xffC\0\xa1\x0c\0\0\0\0~\x8b;\0\x97\x8aM\0\xb6\xff\xff\xffB\0\xa5\x0c\0\0\0\0\x92\x8b;\0\xe5\x8aM\0\xc6\xff\xff\xffC\0\xa3\x0c\0\0\0\0" }
2025-06-20T11:20:44.525208Z  INFO [TXN-REQ] H->D F:952  @ 8.316050s | Command(CommandHeader { command_type: GetData, transaction_id: 37, attribute: AdcQueue }, None)
2025-06-20T11:20:44.525219Z  INFO [TXN-RSP] D->H F:954  @ 8.316210s | SensorData(SensorDataPacket { header: SensorDataHeader { response_type: 65, transaction_id: 37, flags: 130, attribute_echo: 2 }, extended_header: 184549377, vbus_uv: 5081829, ibus_ua: -50, vbus_avg_uv: 5082308, ibus_avg_ua: 10, vbus_ori_avg_uv: 5082314, ibus_ori_avg_ua: 104, temp_raw: 3159, vcc1_tenth_mv: 666, vcc2_raw: 32376, vdp_mv: 0, vdm_mv: 0, vdd_raw: 32384, rate: Sps1, unknown1: 128, vcc2_avg_raw: 3234, vdp_avg_mv: 0, vdm_avg_mv: 0 })
2025-06-20T11:20:44.525230Z  INFO [TXN-REQ] H->D F:956  @ 8.375168s | Command(CommandHeader { command_type: GetData, transaction_id: 38, attribute: AdcQueue10k }, None)
2025-06-20T11:20:44.525247Z  INFO [TXN-RSP] D->H F:958  @ 8.375494s | GenericResponse { header: CommandHeader { command_type: DataResponse, transaction_id: 38, attribute: Unknown(1794) }, payload: b"\x02\0\x06\x05\xa6\x8b;\0\xe5\x8aM\0\xce\xff\xff\xff@\0\xa3\x0c\0\0\0\0\xba\x8b;\0\xe5\x8aM\0\xc6\xff\xff\xffC\0\xa3\x0c\0\0\0\0\xce\x8b;\0\xe5\x8aM\0\xce\xff\xff\xffG\0\xa3\x0c\0\0\0\0\xe2\x8b;\0\xe5\x8aM\0\xd2\xff\xff\xff@\0\xa5\x0c\0\0\0\0\xf6\x8b;\0 \x8bM\0\xd6\xff\xff\xffB\0\xa3\x0c\0\0\0\0\n\x8c;\0\xa9\x8bM\0\xe2\xff\xff\xffC\0\xa3\x0c\0\0\0\0" }
2025-06-20T11:20:44.525266Z  INFO [TXN-REQ] H->D F:960  @ 8.475230s | Command(CommandHeader { command_type: GetData, transaction_id: 39, attribute: AdcQueue10k }, None)
2025-06-20T11:20:44.525283Z  INFO [TXN-RSP] D->H F:962  @ 8.475505s | GenericResponse { header: CommandHeader { command_type: DataResponse, transaction_id: 39, attribute: Unknown(1538) }, payload: b"\x02\0\x05\x05\x1e\x8c;\0\xa9\x8bM\0\xea\xff\xff\xffB\0\xa5\x0c\0\0\0\02\x8c;\0\xa9\x8bM\0\xde\xff\xff\xff<\0\x9e\x0c\0\0\0\0F\x8c;\0\xa9\x8bM\0\xde\xff\xff\xff@\0\xa3\x0c\0\0\0\0Z\x8c;\0\xa9\x8bM\0\xde\xff\xff\xff@\0\xa5\x0c\0\0\0\0n\x8c;\0\xa9\x8bM\0\xe6\xff\xff\xffE\0\xa5\x0c\0\0\0\0" }
2025-06-20T11:20:44.525301Z  INFO [TXN-REQ] H->D F:964  @ 8.525093s | Command(CommandHeader { command_type: GetData, transaction_id: 40, attribute: AdcQueue }, None)
2025-06-20T11:20:44.525311Z  INFO [TXN-RSP] D->H F:966  @ 8.525280s | SensorData(SensorDataPacket { header: SensorDataHeader { response_type: 65, transaction_id: 40, flags: 130, attribute_echo: 2 }, extended_header: 184549377, vbus_uv: 5081966, ibus_ua: -14, vbus_avg_uv: 5082308, ibus_avg_ua: 10, vbus_ori_avg_uv: 5082314, ibus_ori_avg_ua: 104, temp_raw: 3158, vcc1_tenth_mv: 668, vcc2_raw: 32369, vdp_mv: 0, vdm_mv: 0, vdd_raw: 32377, rate: Sps1, unknown1: 128, vcc2_avg_raw: 3234, vdp_avg_mv: 0, vdm_avg_mv: 0 })
2025-06-20T11:20:44.525321Z  INFO [TXN-REQ] H->D F:968  @ 8.580513s | Command(CommandHeader { command_type: GetData, transaction_id: 41, attribute: AdcQueue10k }, None)
2025-06-20T11:20:44.525338Z  INFO [TXN-RSP] D->H F:970  @ 8.580728s | GenericResponse { header: CommandHeader { command_type: DataResponse, transaction_id: 41, attribute: Unknown(1538) }, payload: b"\x02\0\x05\x05\x82\x8c;\0\xa9\x8bM\0\xf2\xff\xff\xffC\0\xa5\x0c\0\0\0\0\x96\x8c;\0n\x8bM\0\xf2\xff\xff\xffB\0\xa5\x0c\0\0\0\0\xaa\x8c;\0 \x8bM\0\xfa\xff\xff\xffA\0\xa3\x0c\0\0\0\0\xbe\x8c;\0 \x8bM\0\x0e\0\0\0C\0\xa5\x0c\0\0\0\0\xd2\x8c;\0\x95\x8bM\0\x0e\0\0\0C\0\xa5\x0c\0\0\0\0" }
2025-06-20T11:20:44.525354Z  INFO [TXN-REQ] H->D F:972  @ 8.685223s | Command(CommandHeader { command_type: GetData, transaction_id: 42, attribute: AdcQueue10k }, None)
2025-06-20T11:20:44.525368Z  INFO [TXN-RSP] D->H F:974  @ 8.685522s | GenericResponse { header: CommandHeader { command_type: DataResponse, transaction_id: 42, attribute: Unknown(1538) }, payload: b"\x02\0\x05\x05\xe6\x8c;\0\xe5\x8aM\0\x0e\0\0\0C\0\xa5\x0c\0\0\0\0\xfa\x8c;\0\xf9\x8aM\0\x0e\0\0\0C\0\xa3\x0c\0\0\0\0\x0e\x8d;\0\xa9\x8bM\0\x1e\0\0\0E\0\xa3\x0c\0\0\0\0\"\x8d;\0\xa9\x8bM\0\x1e\0\0\0B\0\xa3\x0c\0\0\0\06\x8d;\0\xa9\x8bM\0\x16\0\0\0A\0\xa5\x0c\0\0\0\0" }
2025-06-20T11:20:44.525386Z  INFO [TXN-REQ] H->D F:976  @ 8.725387s | Command(CommandHeader { command_type: GetData, transaction_id: 43, attribute: AdcQueue }, None)
2025-06-20T11:20:44.525397Z  INFO [TXN-RSP] D->H F:978  @ 8.725619s | SensorData(SensorDataPacket { header: SensorDataHeader { response_type: 65, transaction_id: 43, flags: 130, attribute_echo: 2 }, extended_header: 184549377, vbus_uv: 5082025, ibus_ua: 30, vbus_avg_uv: 5082308, ibus_avg_ua: 10, vbus_ori_avg_uv: 5082314, ibus_ori_avg_ua: 104, temp_raw: 3160, vcc1_tenth_mv: 668, vcc2_raw: 32369, vdp_mv: 0, vdm_mv: 0, vdd_raw: 32377, rate: Sps1, unknown1: 128, vcc2_avg_raw: 3234, vdp_avg_mv: 0, vdm_avg_mv: 0 })
2025-06-20T11:20:44.525410Z  INFO [TXN-REQ] H->D F:980  @ 8.795247s | Command(CommandHeader { command_type: GetData, transaction_id: 44, attribute: AdcQueue10k }, None)
2025-06-20T11:20:44.525427Z  INFO [TXN-RSP] D->H F:982  @ 8.795550s | GenericResponse { header: CommandHeader { command_type: DataResponse, transaction_id: 44, attribute: Unknown(1794) }, payload: b"\x02\0\x06\x05J\x8d;\0\xa9\x8bM\0\"\0\0\0B\0\xa1\x0c\0\0\0\0^\x8d;\0\xa9\x8bM\0\x1e\0\0\0D\0\xa5\x0c\0\0\0\0r\x8d;\0\xa9\x8bM\0\"\0\0\0C\0\xa1\x0c\0\0\0\0\x86\x8d;\0\xa9\x8bM\0\x1e\0\0\0A\0\xa5\x0c\0\0\0\0\x9a\x8d;\0\xa9\x8bM\0\x1e\0\0\0B\0\xa5\x0c\0\0\0\0\xae\x8d;\0\xa9\x8bM\0\x1a\0\0\0F\0\xa3\x0c\0\0\0\0" }
2025-06-20T11:20:44.525446Z  INFO [TXN-REQ] H->D F:984  @ 8.905069s | Command(CommandHeader { command_type: GetData, transaction_id: 45, attribute: AdcQueue10k }, None)
2025-06-20T11:20:44.525461Z  INFO [TXN-RSP] D->H F:986  @ 8.905254s | GenericResponse { header: CommandHeader { command_type: DataResponse, transaction_id: 45, attribute: Unknown(1538) }, payload: b"\x02\0\x05\x05\xc2\x8d;\0\xa9\x8bM\0\x1e\0\0\0D\0\xa5\x0c\0\0\0\0\xd6\x8d;\0\xa9\x8bM\0\x1e\0\0\0C\0\xa3\x0c\0\0\0\0\xea\x8d;\0\xa9\x8bM\0*\0\0\0G\0\xa5\x0c\0\0\0\0\xfe\x8d;\0\xa9\x8bM\0&\0\0\0B\0\xa5\x0c\0\0\0\0\x12\x8e;\0Y\x8cM\0&\0\0\0D\0\xa3\x0c\0\0\0\0" }
2025-06-20T11:20:44.525479Z  INFO [TXN-REQ] H->D F:988  @ 8.935177s | Command(CommandHeader { command_type: GetData, transaction_id: 46, attribute: AdcQueue }, None)
2025-06-20T11:20:44.525491Z  INFO [TXN-RSP] D->H F:990  @ 8.935336s | SensorData(SensorDataPacket { header: SensorDataHeader { response_type: 65, transaction_id: 46, flags: 130, attribute_echo: 2 }, extended_header: 184549377, vbus_uv: 5082220, ibus_ua: 50, vbus_avg_uv: 5082308, ibus_avg_ua: 10, vbus_ori_avg_uv: 5082314, ibus_ori_avg_ua: 104, temp_raw: 3158, vcc1_tenth_mv: 668, vcc2_raw: 32369, vdp_mv: 0, vdm_mv: 0, vdd_raw: 32377, rate: Sps1, unknown1: 128, vcc2_avg_raw: 3238, vdp_avg_mv: 0, vdm_avg_mv: 0 })
2025-06-20T11:20:44.525501Z  INFO [TXN-REQ] H->D F:992  @ 9.012820s | Command(CommandHeader { command_type: GetData, transaction_id: 47, attribute: AdcQueue10k }, None)
2025-06-20T11:20:44.525517Z  INFO [TXN-RSP] D->H F:994  @ 9.013093s | GenericResponse { header: CommandHeader { command_type: DataResponse, transaction_id: 47, attribute: Unknown(1794) }, payload: b"\x02\0\x06\x05&\x8e;\01\x8cM\0*\0\0\0A\0\xa5\x0c\0\0\0\0:\x8e;\0l\x8cM\02\0\0\0B\0\xa5\x0c\0\0\0\0N\x8e;\0l\x8cM\0*\0\0\0C\0\xa1\x0c\0\0\0\0b\x8e;\0l\x8cM\0\x16\0\0\0B\0\xa5\x0c\0\0\0\0v\x8e;\0l\x8cM\0\x0e\0\0\0?\0\xa3\x0c\0\0\0\0\x8a\x8e;\0\x1e\x8cM\0\x1a\0\0\0@\0\xa5\x0c\0\0\0\0" }
2025-06-20T11:20:44.525536Z  INFO [TXN-REQ] H->D F:996  @ 9.115400s | Command(CommandHeader { command_type: GetData, transaction_id: 48, attribute: AdcQueue10k }, None)
2025-06-20T11:20:44.525552Z  INFO [TXN-RSP] D->H F:998  @ 9.115669s | GenericResponse { header: CommandHeader { command_type: DataResponse, transaction_id: 48, attribute: Unknown(1538) }, payload: b"\x02\0\x05\x05\x9e\x8e;\0\xf7\x8bM\0&\0\0\0C\0\xa5\x0c\0\0\0\0\xb2\x8e;\0\xf7\x8bM\0*\0\0\0C\0\xa3\x0c\0\0\0\0\xc6\x8e;\0\xa9\x8bM\02\0\0\0D\0\xa5\x0c\0\0\0\0\xda\x8e;\0\xa9\x8bM\0\x16\0\0\0C\0\xa5\x0c\0\0\0\0\xee\x8e;\0\x1e\x8cM\0\n\0\0\0C\0\xa3\x0c\0\0\0\0" }
2025-06-20T11:20:44.525572Z  INFO [TXN-REQ] H->D F:1000 @ 9.145316s | Command(CommandHeader { command_type: GetData, transaction_id: 49, attribute: AdcQueue }, None)
2025-06-20T11:20:44.525584Z  INFO [TXN-RSP] D->H F:1002 @ 9.145554s | SensorData(SensorDataPacket { header: SensorDataHeader { response_type: 65, transaction_id: 49, flags: 130, attribute_echo: 2 }, extended_header: 184549377, vbus_uv: 5082161, ibus_ua: 22, vbus_avg_uv: 5081976, ibus_avg_ua: -2, vbus_ori_avg_uv: 5081982, ibus_ori_avg_ua: 92, temp_raw: 3160, vcc1_tenth_mv: 668, vcc2_raw: 32371, vdp_mv: 0, vdm_mv: 0, vdd_raw: 32379, rate: Sps1, unknown1: 128, vcc2_avg_raw: 3238, vdp_avg_mv: 0, vdm_avg_mv: 0 })
2025-06-20T11:20:44.525596Z  INFO [TXN-REQ] H->D F:1004 @ 9.225196s | Command(CommandHeader { command_type: GetData, transaction_id: 50, attribute: AdcQueue10k }, None)
2025-06-20T11:20:44.525614Z  INFO [TXN-RSP] D->H F:1006 @ 9.225399s | GenericResponse { header: CommandHeader { command_type: DataResponse, transaction_id: 50, attribute: Unknown(1538) }, payload: b"\x02\0\x05\x05\x02\x8f;\01\x8cM\0\x16\0\0\0E\0\xa5\x0c\0\0\0\0\x16\x8f;\0l\x8cM\0\n\0\0\0>\0\xa3\x0c\0\0\0\0*\x8f;\0\xa9\x8bM\0\xfe\xff\xff\xff@\0\xa5\x0c\0\0\0\0>\x8f;\0\xa9\x8bM\0\xfe\xff\xff\xff@\0\xa3\x0c\0\0\0\0R\x8f;\0\xa9\x8bM\0\xf6\xff\xff\xffA\0\xa1\x0c\0\0\0\0" }
2025-06-20T11:20:44.525636Z  INFO [TXN-REQ] H->D F:1008 @ 9.335210s | Command(CommandHeader { command_type: GetData, transaction_id: 51, attribute: AdcQueue10k }, None)
2025-06-20T11:20:44.525655Z  INFO [TXN-RSP] D->H F:1010 @ 9.335504s | GenericResponse { header: CommandHeader { command_type: DataResponse, transaction_id: 51, attribute: Unknown(1794) }, payload: b"\x02\0\x06\x05f\x8f;\0\xa9\x8bM\0\n\0\0\0A\0\xa5\x0c\0\0\0\0z\x8f;\0\xa9\x8bM\0\n\0\0\0B\0\xa5\x0c\0\0\0\0\x8e\x8f;\0\xa9\x8bM\0\x02\0\0\0D\0\xa3\x0c\0\0\0\0\xa2\x8f;\0\xa9\x8bM\0\x02\0\0\0D\0\xa5\x0c\0\0\0\0\xb6\x8f;\0\xa9\x8bM\0\xf6\xff\xff\xffA\0\xa3\x0c\0\0\0\0\xca\x8f;\0\xa9\x8bM\0\xfa\xff\xff\xffC\0\xa5\x0c\0\0\0\0" }
2025-06-20T11:20:44.525678Z  INFO [TXN-REQ] H->D F:1012 @ 9.356042s | Command(CommandHeader { command_type: GetData, transaction_id: 52, attribute: AdcQueue }, None)
2025-06-20T11:20:44.525690Z  INFO [TXN-RSP] D->H F:1014 @ 9.356267s | SensorData(SensorDataPacket { header: SensorDataHeader { response_type: 65, transaction_id: 52, flags: 130, attribute_echo: 2 }, extended_header: 184549377, vbus_uv: 5082025, ibus_ua: -2, vbus_avg_uv: 5081976, ibus_avg_ua: -2, vbus_ori_avg_uv: 5081982, ibus_ori_avg_ua: 92, temp_raw: 3160, vcc1_tenth_mv: 668, vcc2_raw: 32371, vdp_mv: 0, vdm_mv: 0, vdd_raw: 32379, rate: Sps1, unknown1: 128, vcc2_avg_raw: 3238, vdp_avg_mv: 0, vdm_avg_mv: 0 })
2025-06-20T11:20:44.525702Z  INFO [TXN-REQ] H->D F:1016 @ 9.435529s | Command(CommandHeader { command_type: GetData, transaction_id: 53, attribute: AdcQueue10k }, None)
2025-06-20T11:20:44.525721Z  INFO [TXN-RSP] D->H F:1018 @ 9.435763s | GenericResponse { header: CommandHeader { command_type: DataResponse, transaction_id: 53, attribute: Unknown(1538) }, payload: b"\x02\0\x05\x05\xde\x8f;\0\xa9\x8bM\0\xfe\xff\xff\xffC\0\xa3\x0c\0\0\0\0\xf2\x8f;\0\xa9\x8bM\0\x0e\0\0\0F\0\xa3\x0c\0\0\0\0\x06\x90;\0\xa9\x8bM\0\x0e\0\0\0C\0\xa5\x0c\0\0\0\0\x1a\x90;\0\xa9\x8bM\0\"\0\0\0?\0\xa5\x0c\0\0\0\0.\x90;\0\xa9\x8bM\0\"\0\0\0A\0\xa8\x0c\0\0\0\0" }
2025-06-20T11:20:44.525742Z  INFO [TXN-REQ] H->D F:1020 @ 9.546063s | Command(CommandHeader { command_type: GetData, transaction_id: 54, attribute: AdcQueue10k }, None)
2025-06-20T11:20:44.525760Z  INFO [TXN-RSP] D->H F:1022 @ 9.546277s | GenericResponse { header: CommandHeader { command_type: DataResponse, transaction_id: 54, attribute: Unknown(1538) }, payload: b"\x02\0\x05\x05B\x90;\0\xa9\x8bM\0\x1e\0\0\0@\0\xa5\x0c\0\0\0\0V\x90;\0\xa9\x8bM\0\x12\0\0\0C\0\xa3\x0c\0\0\0\0j\x90;\0\xa9\x8bM\0\x0e\0\0\0@\0\xa5\x0c\0\0\0\0~\x90;\0\xa9\x8bM\0\x16\0\0\0E\0\xa3\x0c\0\0\0\0\x92\x90;\0\xa9\x8bM\0\x0e\0\0\0G\0\xa3\x0c\0\0\0\0" }
2025-06-20T11:20:44.525778Z  INFO [TXN-REQ] H->D F:1024 @ 9.565034s | Command(CommandHeader { command_type: GetData, transaction_id: 55, attribute: AdcQueue }, None)
2025-06-20T11:20:44.525790Z  INFO [TXN-RSP] D->H F:1026 @ 9.565203s | SensorData(SensorDataPacket { header: SensorDataHeader { response_type: 65, transaction_id: 55, flags: 130, attribute_echo: 2 }, extended_header: 184549377, vbus_uv: 5082025, ibus_ua: 2, vbus_avg_uv: 5081976, ibus_avg_ua: -2, vbus_ori_avg_uv: 5081982, ibus_ori_avg_ua: 92, temp_raw: 3160, vcc1_tenth_mv: 669, vcc2_raw: 32371, vdp_mv: 0, vdm_mv: 0, vdd_raw: 32379, rate: Sps1, unknown1: 128, vcc2_avg_raw: 3234, vdp_avg_mv: 0, vdm_avg_mv: 0 })
2025-06-20T11:20:44.525805Z  INFO [TXN-REQ] H->D F:1028 @ 9.655153s | Command(CommandHeader { command_type: GetData, transaction_id: 56, attribute: AdcQueue10k }, None)
2025-06-20T11:20:44.525825Z  INFO [TXN-RSP] D->H F:1030 @ 9.655490s | GenericResponse { header: CommandHeader { command_type: DataResponse, transaction_id: 56, attribute: Unknown(1794) }, payload: b"\x02\0\x06\x05\xa6\x90;\0\xa9\x8bM\0\x02\0\0\0D\0\xa3\x0c\0\0\0\0\xba\x90;\0\xa9\x8bM\0\x06\0\0\0C\0\xa5\x0c\0\0\0\0\xce\x90;\0\xa9\x8bM\0\x06\0\0\0G\0\xa5\x0c\0\0\0\0\xe2\x90;\0\xa9\x8bM\0\n\0\0\0B\0\xa3\x0c\0\0\0\0\xf6\x90;\0\xf7\x8bM\0\n\0\0\0D\0\xa5\x0c\0\0\0\0\n\x91;\0l\x8cM\0\xfe\xff\xff\xff@\0\xa5\x0c\0\0\0\0" }
2025-06-20T11:20:44.525847Z  INFO [TXN-REQ] H->D F:1032 @ 9.758179s | Command(CommandHeader { command_type: GetData, transaction_id: 57, attribute: AdcQueue10k }, None)
2025-06-20T11:20:44.525865Z  INFO [TXN-RSP] D->H F:1034 @ 9.758399s | GenericResponse { header: CommandHeader { command_type: DataResponse, transaction_id: 57, attribute: Unknown(1538) }, payload: b"\x02\0\x05\x05\x1e\x91;\0l\x8cM\0\xea\xff\xff\xffB\0\xa3\x0c\0\0\0\02\x91;\0l\x8cM\0\xf2\xff\xff\xffE\0\xa1\x0c\0\0\0\0F\x91;\0l\x8cM\0\x02\0\0\0C\0\xa3\x0c\0\0\0\0Z\x91;\0l\x8cM\0\x06\0\0\0?\0\xa3\x0c\0\0\0\0n\x91;\0l\x8cM\0\n\0\0\0B\0\xa5\x0c\0\0\0\0" }
2025-06-20T11:20:44.525887Z  INFO [TXN-REQ] H->D F:1036 @ 9.775008s | Command(CommandHeader { command_type: GetData, transaction_id: 58, attribute: AdcQueue }, None)
2025-06-20T11:20:44.525899Z  INFO [TXN-RSP] D->H F:1038 @ 9.775181s | SensorData(SensorDataPacket { header: SensorDataHeader { response_type: 65, transaction_id: 58, flags: 130, attribute_echo: 2 }, extended_header: 184549377, vbus_uv: 5082220, ibus_ua: 10, vbus_avg_uv: 5081976, ibus_avg_ua: -2, vbus_ori_avg_uv: 5081982, ibus_ori_avg_ua: 92, temp_raw: 3160, vcc1_tenth_mv: 669, vcc2_raw: 32371, vdp_mv: 0, vdm_mv: 0, vdd_raw: 32379, rate: Sps1, unknown1: 128, vcc2_avg_raw: 3234, vdp_avg_mv: 0, vdm_avg_mv: 0 })
2025-06-20T11:20:44.525913Z  INFO [TXN-REQ] H->D F:1040 @ 9.866059s | Command(CommandHeader { command_type: GetData, transaction_id: 59, attribute: AdcQueue10k }, None)
2025-06-20T11:20:44.525932Z  INFO [TXN-RSP] D->H F:1042 @ 9.866341s | GenericResponse { header: CommandHeader { command_type: DataResponse, transaction_id: 59, attribute: Unknown(1538) }, payload: b"\x02\0\x05\x05\x82\x91;\0l\x8cM\0\n\0\0\0C\0\xa5\x0c\0\0\0\0\x96\x91;\0l\x8cM\0\x06\0\0\0C\0\xa3\x0c\0\0\0\0\xaa\x91;\0l\x8cM\0\xfe\xff\xff\xffB\0\xa5\x0c\0\0\0\0\xbe\x91;\0l\x8cM\0\xf6\xff\xff\xffB\0\xa5\x0c\0\0\0\0\xd2\x91;\0l\x8cM\0\xfe\xff\xff\xffH\0\xa5\x0c\0\0\0\0" }
2025-06-20T11:20:44.525954Z  INFO [TXN-REQ] H->D F:1044 @ 9.975266s | Command(CommandHeader { command_type: GetData, transaction_id: 60, attribute: AdcQueue10k }, None)
2025-06-20T11:20:44.525973Z  INFO [TXN-RSP] D->H F:1046 @ 9.975536s | GenericResponse { header: CommandHeader { command_type: DataResponse, transaction_id: 60, attribute: Unknown(1794) }, payload: b"\x02\0\x06\x05\xe6\x91;\0l\x8cM\0\x02\0\0\0B\0\xa3\x0c\0\0\0\0\xfa\x91;\0l\x8cM\0\x02\0\0\0B\0\xa5\x0c\0\0\0\0\x0e\x92;\0l\x8cM\0\x12\0\0\0A\0\xa5\x0c\0\0\0\0\"\x92;\0l\x8cM\0\n\0\0\0C\0\xa5\x0c\0\0\0\06\x92;\0l\x8cM\0\xfe\xff\xff\xffC\0\xa3\x0c\0\0\0\0J\x92;\0l\x8cM\0\xee\xff\xff\xffB\0\xa5\x0c\0\0\0\0" }
2025-06-20T11:20:44.525996Z  INFO [TXN-REQ] H->D F:1048 @ 9.985032s | Command(CommandHeader { command_type: GetData, transaction_id: 61, attribute: AdcQueue }, None)
2025-06-20T11:20:44.526008Z  INFO [TXN-RSP] D->H F:1050 @ 9.985188s | SensorData(SensorDataPacket { header: SensorDataHeader { response_type: 65, transaction_id: 61, flags: 130, attribute_echo: 2 }, extended_header: 184549377, vbus_uv: 5082220, ibus_ua: -18, vbus_avg_uv: 5081976, ibus_avg_ua: -2, vbus_ori_avg_uv: 5081982, ibus_ori_avg_ua: 92, temp_raw: 3160, vcc1_tenth_mv: 667, vcc2_raw: 32371, vdp_mv: 0, vdm_mv: 0, vdd_raw: 32379, rate: Sps1, unknown1: 128, vcc2_avg_raw: 3238, vdp_avg_mv: 0, vdm_avg_mv: 0 })
2025-06-20T11:20:44.526019Z  INFO [TXN-REQ] H->D F:1052 @ 10.085294s | Command(CommandHeader { command_type: GetData, transaction_id: 62, attribute: AdcQueue10k }, None)
2025-06-20T11:20:44.526037Z  INFO [TXN-RSP] D->H F:1054 @ 10.085580s | GenericResponse { header: CommandHeader { command_type: DataResponse, transaction_id: 62, attribute: Unknown(1538) }, payload: b"\x02\0\x05\x05^\x92;\0l\x8cM\0\xe6\xff\xff\xffB\0\xa3\x0c\0\0\0\0r\x92;\0l\x8cM\0\xf2\xff\xff\xffC\0\xa3\x0c\0\0\0\0\x86\x92;\0l\x8cM\0\xee\xff\xff\xffD\0\xa8\x0c\0\0\0\0\x9a\x92;\0l\x8cM\0\xea\xff\xff\xffA\0\xa3\x0c\0\0\0\0\xae\x92;\0l\x8cM\0\xd6\xff\xff\xffB\0\xa5\x0c\0\0\0\0" }
2025-06-20T11:20:44.526058Z  INFO [TXN-REQ] H->D F:1056 @ 10.186050s | Command(CommandHeader { command_type: GetData, transaction_id: 63, attribute: Unknown(6) }, None)
2025-06-20T11:20:44.526082Z  INFO [TXN-RSP] D->H F:1058 @ 10.186353s | GenericResponse { header: CommandHeader { command_type: DataResponse, transaction_id: 63, attribute: Unknown(2306) }, payload: b"\x01\x80\0\x0bl\x8cM\0\xde\xff\xff\xff\x0e\x8cM\0\0\0\0\0\x14\x8cM\0^\0\0\0X\x0c\x9b\x02s~\0\0\0\0{~\0\x80\xa6\x0c\0\0\0\0\x02\0\x05\x05\xc2\x92;\0l\x8cM\0\xd2\xff\xff\xffC\0\xa5\x0c\0\0\0\0\xd6\x92;\0l\x8cM\0\xda\xff\xff\xffE\0\xa5\x0c\0\0\0\0\xea\x92;\0l\x8cM\0\xe2\xff\xff\xffC\0\xa5\x0c\0\0\0\0\xfe\x92;\0l\x8cM\0\xe2\xff\xff\xff=\0\xa1\x0c\0\0\0\0\x12\x93;\0l\x8cM\0\xde\xff\xff\xffB\0\xa3\x0c\0\0\0\0" }
2025-06-20T11:20:44.526108Z  INFO [TXN-REQ] H->D F:1060 @ 10.295063s | Command(CommandHeader { command_type: GetData, transaction_id: 64, attribute: AdcQueue10k }, None)
2025-06-20T11:20:44.526127Z  INFO [TXN-RSP] D->H F:1062 @ 10.295401s | GenericResponse { header: CommandHeader { command_type: DataResponse, transaction_id: 64, attribute: Unknown(1794) }, payload: b"\x02\0\x06\x05&\x93;\0l\x8cM\0\xd6\xff\xff\xff?\0\xa3\x0c\0\0\0\0:\x93;\0l\x8cM\0\xd2\xff\xff\xffC\0\xa5\x0c\0\0\0\0N\x93;\0\x1e\x8cM\0\xca\xff\xff\xffC\0\xa5\x0c\0\0\0\0b\x93;\0E\x8cM\0\xce\xff\xff\xffA\0\xa5\x0c\0\0\0\0v\x93;\0\xd0\x8bM\0\xc6\xff\xff\xffA\0\xa5\x0c\0\0\0\0\x8a\x93;\0\xa9\x8bM\0\xd6\xff\xff\xffD\0\xa3\x0c\0\0\0\0" }
2025-06-20T11:20:44.526151Z  INFO [TXN-REQ] H->D F:1064 @ 10.396287s | Command(CommandHeader { command_type: GetData, transaction_id: 65, attribute: Unknown(6) }, None)
